classificação;arquivo;pergunta;alternativa correta;alternativa llm;acertou;;;
SiteINF;Ciência da Computação.txt;"Em que ano o Bacharelado em Ciência da Computação foi criado oficialmente? A) 1972; B) 1983; C) 1988; D) 1995; E) 1989;";B;B;sim;;;
SiteINF;Apresentação.txt;"Qual a área física ocupada pela incubadora CEI do Instituto de Informática? A) Exatamente 500 m²; B) Cerca de 800 m²; C) Menos de 1.000 m²; D) Superior a 1.000 m²; E) Exatamente 2.000 m²;";D;D;sim;;;
SiteINF;Estrutura.txt;"Qual entidade estudantil está listada na estrutura do Instituto de Informática? A) Empresa Júnior IDE; B) Diretório Central dos Estudantes; C) União Nacional dos Estudantes; D) Conselho de Reitores; E) Grêmio de Engenharia Civil;";A;A;sim;;;
SiteINF;PPGIE.txt;"Qual o objetivo geral do Programa de Pós-Graduação em Informática na Educação (PPGIE)? A) Formar apenas programadores de jogos; B) Pesquisar hardware de baixo custo; C) Substituir professores por robôs; D) Desenvolver sistemas de banco de dados; E) Propiciar estudos aprofundados na área de Informática na Educação;";E;E;sim;;;
SiteINF;Especializações.txt;"Qual destes cursos de especialização possui edição prevista para 2024-2026? A) Big Data & Data Science; B) Internet das Coisas; C) Engenharia de Software para Aplicações de Ciência de Dados; D) Segurança Cibernética; E) Gestão de TI;";C;C;sim;;;
SiteINF;Informações básicas...;"A quem se aplica o Código Disciplinar Discente (CDD) da UFRGS? A) Apenas a alunos de pós-graduação; B) Somente a alunos formandos; C) A todos os discentes com vínculo ativo ou matrícula trancada; D) Exclusivamente a alunos bolsistas; E) Apenas a alunos presenciais;";C;C;sim;;;
SiteINF;Apresentação.txt;"Em que data o Instituto de Informática (INF) da UFRGS foi fundado? A) 9 de novembro de 1989; B) 20 de dezembro de 1989; C) 1 de janeiro de 1990; D) 15 de agosto de 1975; E) 9 de novembro de 1970;";A;A;sim;;;
SiteINF;História.txt;"Em que ano a Sociedade Brasileira de Computação (SBC) transferiu sua sede para o INF? A) 1989; B) 1991; C) 1996; D) 1974; E) 1998;";E;B;nao;;;
SiteINF;Descrição.txt;"Em que ano o Instituto de Informática foi transferido para o Campus do Vale? A) 1983; B) 1991; C) 1996; D) 2003; E) 1970;";B;B;sim;;;
SiteINF;Projetos de Extensão.txt;"Qual o foco principal das atividades do projeto LoBoGames? A) Desenvolvimento de apps; B) Programação de robôs; C) Podcasts sobre tecnologia; D) Uso de jogos lógicos de tabuleiro; E) Inclusão digital;";D;D;sim;;;
SiteINF;Apresentação.txt;"Com quais países o INF desenvolve notadamente projetos de cooperação internacional? A) China e Japão; B) Argentina e Uruguai; C) Austrália e Canadá; D) Rússia e Índia; E) França, Alemanha e Estados Unidos;";E;E;sim;;;
SiteINF;Direção.txt;"Quem é o atual Diretor do Instituto de Informática (gestão 2024-2028)? A) Flávio Rech Wagner; B) Luciano Paschoal Gaspary; C) Philippe Navaux; D) Luís da Cunha Lamb; E) Roberto Tom Price;";B;B;sim;;;
SiteINF;COMGRAD.txt;"Quantos eixos estruturantes compõem o Plano de Ação da COMGRAD para 2025? A) Dois; B) Três; C) Quatro; D) Cinco; E) Seis;";D;D;sim;;;
SiteINF;PGMICRO.txt;"A natureza multidisciplinar do PGMicro exigiu a conjugação de quantas unidades acadêmicas? A) Quatro unidades; B) Duas unidades; C) Oito unidades; D) Uma unidade; E) Seis unidades;";A;A;sim;;;
SiteINF;Departamentos.txt;"Quantos departamentos são responsáveis pelas atividades de ensino no INF? A) Um; B) Três; C) Dois; D) Quatro; E) Cinco;";C;C;sim;;;
SiteINF;História.txt;"O que foi criado em 1968, marcando o início da história da informática na UFRGS? A) CPD (Centro de Processamento de Dados); B) Bacharelado em Ciência da Computação; C) Curso de Engenharia de Computação; D) Centro de Empreendimentos; E) Laboratório LICIA;";A;A;sim;;;
SiteINF;Projetos de Extensão.txt;"Qual projeto foca no recondicionamento de computadores para empréstimo a estudantes? A) Program.ada; B) FalaINF; C) Reconecta UFRGS; D) INF-Games; E) LoBoGames;";C;C;sim;;;
SiteINF;Engenharia de Computação.txt;"Calcula-se que qual porcentagem de processadores existentes esteja embutida (embarcada) em equipamentos? A) 50%; B) 98%; C) 75%; D) 25%; E) 10%;";B;B;sim;;;
SiteINF;História.txt;"Em que ano o PPGC alcançou a nota 6 na CAPES pela primeira vez? A) 1973; B) 1989; C) 1993; D) 2007; E) 2013;";D;D;sim;;;
SiteINF;NAU-INF.txt;"Quem é o atual Coordenador do NAU-INF (Gestão 2024-2027)? A) Renan Maffei; B) Lucio Mauro Duarte; C) Bruno Grisci; D) Giesa Carla da Silva; E) Renan de Queiroz Maffei;";E;E;sim;;;
SiteINF;Ingresso.txt;"Quantas vagas anuais totais são oferecidas para Ciência da Computação via Sisu? A) 70; B) 100; C) 22; D) 30; E) 8;";D;D;sim;;;
SiteINF;NDE.txt;"Quem é o atual Coordenador do NDE/CIC (Núcleo Docente Estruturante)? A) Rodrigo Machado; B) Leila Ribeiro; C) André Inácio Reis; D) Álvaro Freitas Moreira; E) Eduardo Simões Lopes Gastal;";E;D;nao;;;
SiteINF;Perguntas Frequentes.txt;"Qual a duração prevista para o curso de Engenharia de Computação? A) 4 anos; B) 4,5 anos; C) 5 anos; D) 6 anos; E) 3,5 anos;";C;B;nao;;;
SiteINF;Licenciatura...txt;"Qual o prazo para integralização curricular da Licenciatura em Computação e Robótica? A) 4 anos; B) 2 anos; C) 6 anos; D) 3 anos; E) 5 anos;";A;A;sim;;;
SiteINF;História.txt;"Quem projetou o primeiro modem brasileiro em 1978? A) Philippe Navaux; B) Juergen Rochol; C) Clesio Saraiva; D) Raul Weber; E) Otacílio de Souza;";B;A;nao;;;
SiteINF;Ingresso.txt;"Quantas vagas novas anuais são oferecidas para Engenharia da Computação? A) 100; B) 60; C) 160; D) 30; E) 70;";B;B;sim;;;
SiteINF;Localização.txt;"Em qual cidade está localizado o Instituto de Informática da UFRGS? A) Porto Alegre; B) Curitiba; C) Florianópolis; D) São Paulo; E) Belo Horizonte;";A;A;sim;;;
SiteINF;Centro de Empreendimentos...;"Qual o nível de maturidade do CEI na certificação CERNE da Anprotec? A) Nível 1; B) Nível 3; C) Nível 4; D) Nível 5; E) Nível 2;";E;E;sim;;;
SiteINF;Conselho.txt;"Quem ocupa a vaga de representante discente da graduação no CONINF? A) Maria Flávia Tondo; B) Alexsander Ribeiro; C) Adriel de Souza; D) Carlos Alberto Júnior; E) Tiago Ferreira;";C;C;sim;;;
SiteINF;Licenciatura...txt;"Qual resolução do MEC prevê as diretrizes para a Licenciatura em Computação? A) Resolução nº 4/82; B) Resolução nº 19/2011; C) Resolução nº 001/2013; D) Resolução nº 5, de 16 de novembro de 2016; E) Resolução nº 32/98;";D;D;sim;;;
SiteINF;Projetos de Extensão.txt;"Qual o objetivo principal do projeto ""Program.ada""? A) Criar algoritmos; B) Desenvolver jogos; C) Capacitar e integrar mulheres na Computação; D) Traduzir manuais; E) Consertar hardware;";C;C;sim;;;
SiteINF;PGMICRO.txt;"Qual destes laboratórios do Instituto de Física colabora com o PGMICRO? A) Laboratório de Laser; B) Centro de Microscopia; C) Laboratório de Filmes Finos; D) Laboratório de Implantação Iônica; E) Laboratório de Sistemas Digitais;";D;D;sim;;;
SiteINF;Grade Curricular.txt;"Qual é a carga horária total do curso de Ciência da Computação? A) 2000 horas; B) 3240 horas; C) 4500 horas; D) 1500 horas; E) 5000 horas;";B;B;sim;;;
SiteINF;Projetos de Extensão.txt;"Quem é o coordenador do projeto de extensão ""INF-Games""? A) Leticia Machado; B) Erika Cota; C) Anderson Tavares; D) Weverton Cordeiro; E) Joel Luis Carbonera;";E;E;sim;;;
SiteINF;PGMICRO.txt;"Em que ano o curso de Doutorado em Microeletrônica foi reconhecido na UFRGS? A) 2003; B) 2007; C) 2002; D) 2006; E) 2010;";A;A;sim;;;
SiteINF;Perguntas Frequentes.txt;"Qual o peso da prova de Matemática no Vestibular para Ciência da Computação? A) 3; B) 1; C) 2; D) 4; E) 5;";A;C;nao;;;
SiteINF;Intercâmbio.txt;"Em que ano foi criado o laboratório LICIA (parceria com a França)? A) 1970; B) 2005; C) 1996; D) 2020; E) 2011;";E;E;sim;;;
SiteINF;Ciência da Computação.txt;"Em que ano o curso de Ciência da Computação foi reestruturado para a forma atual? A) 1983; B) 1989; C) 1991; D) 1995; E) 1999;";D;D;sim;;;
SiteINF;Intercâmbio.txt;"O laboratório LICIA é uma parceria entre o INF e qual instituição francesa? A) Sorbonne; B) Laboratoire d’Informatique de Grenoble (LIG); C) École Normale Supérieure; D) INPG; E) Universidade de Paris;";B;B;sim;;;
SiteINF;Comissão de Pesquisa.txt;"Quem é a coordenadora da atual Comissão de Pesquisa (2025-2027)? A) Luciana Porcher Nedel; B) Erika Fernandes Cota; C) Karina Kohl Silveira; D) Taisy Silva Weber; E) Viviane Pereira Moreira;";C;C;sim;;;
SiteINF;Apresentação.txt;"Qual a nota máxima (obtida pelo PPGC) nas últimas avaliações da CAPES/MEC? A) 4; B) 5; C) 6; D) 10; E) 7;";E;E;sim;;;
SiteINF;NAU-INF.txt;"O que significa a sigla NAU no contexto do Instituto de Informática? A) Núcleo de Apoio Universitário; B) Novo Agrupamento de Usuários; C) Núcleo de Avaliação da Unidade; D) Núcleo de Automação Urbana; E) Nível de Aprendizado Unificado;";C;C;sim;;;
SiteINF;PPGC.txt;"Quantas áreas de concentração integram as atividades de pesquisa do PPGC? A) 5; B) 3; C) 8; D) 10; E) 2;";A;A;sim;;;
SiteINF;Perguntas Frequentes.txt;"Qual o total de créditos exigido para a conclusão do curso de Ciência da Computação? A) 152; B) 180; C) 234; D) 216; E) 200;";D;D;sim;;;
SiteINF;PPGIE.txt;"Em qual plano o Centro de Excelência em Informática na Educação foi proposto? A) Plano Diretor; B) II Plano Nacional de Informática (II PLANIN); C) Plano Decenal; D) Plano de Expansão; E) I Plano de Metas;";B;B;sim;;;
SiteINF;COMGRAD.txt;"Quem é o Coordenador da COMGRAD-CIC para a gestão 2025-2027? A) Marcelo Walter; B) Sérgio Luis Cechin; C) Raul Fernando Weber; D) Álvaro Freitas Moreira; E) Daltro José Nunes;";D;D;sim;;;
SiteINF;PPGC.txt;"Desde que ano existe o Mestrado em Ciência da Computação no PPGC? A) 1989; B) 1973; C) 1968; D) 1996; E) 1983;";B;B;sim;;;
SiteINF;Perguntas Frequentes.txt;"Onde ocorrem as aulas do curso de Engenharia de Computação? A) Apenas no Campus Centro; B) Apenas no Campus do Vale; C) Campus do Vale e Campus Centro; D) Campus Litoral Norte; E) Prédio 43412 apenas;";C;C;sim;;;
SiteINF;Comissão de Pesquisa.txt;"Quantos projetos de pesquisa ativos o Instituto de Informática possui atualmente? A) Exatamente 10; B) Mais de 500; C) Cerca de 20; D) Menos de 50; E) Mais de 100;";E;E;sim;;;
SiteINF;História.txt;"Em que ano foi criado oficialmente o Instituto de Informática (INF)? A) 1989; B) 1973; C) 1983; D) 1996; E) 2003;";A;A;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"De acordo com os princípios do CDD, qual destes rege a conduta discente? A) Convivência ética; B) Lucratividade comercial; C) Competição individualista; D) Segregação por desempenho; E) Autonomia financeira privada;";A;A;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Qual é o período mínimo e máximo estabelecido para a sanção de suspensão? A) 1 a 30 dias; B) 10 a 60 dias; C) 3 a 180 dias; D) 30 a 90 dias; E) 5 a 120 dias;";C;C;sim;;;
Regimentos;Diretrizes curriculares... UFRGS.pdf;"Como as diretrizes curriculares definem o conceito de currículo na UFRGS? A) Lista de livros obrigatórios; B) Expressão de um projeto pedagógico; C) Tabela de preços de disciplinas; D) Manual de normas de segurança; E) Catálogo de cursos técnicos;";B;B;sim;;;
Regimentos;Normas para acompanhamento...pdf;"O que significa a sigla NCA no contexto de desempenho acadêmico? A) Notas de Concurso Acadêmico; B) Nível de Conhecimento Aplicado; C) Número de Créditos Acumulados; D) Novo Cadastro de Alunos; E) Número de Créditos Aprovados em um período;";E;E;sim;;;
Regimentos;Normas para admissão... de alunos visitantes.pdf;"Qual o requisito mínimo de integralização do curso na origem para ser aluno visitante? A) 10%; B) 20%; C) 75%; D) 40%; E) 50%;";D;D;sim;;;
Regimentos;Normas para as atividades complementares...pdf;"Qual o limite máximo de créditos atribuídos às atividades complementares em relação ao total do curso? A) 5%; B) 10%; C) 15%; D) 20%; E) 50%;";B;B;sim;;;
Regimentos;Normas para o programa de estágio...pdf;"Qual a carga horária semanal máxima permitida para o estágio não obrigatório? A) 30 horas; B) 10 horas; C) 20 horas; D) 40 horas; E) 44 horas;";A;A;sim;;;
Regimentos;Regimento.pdf;"Qual destes órgãos faz parte da estrutura oficial do Instituto de Informática? A) Conselho de Reitores; B) Diretório Central; C) Empresa de Correios; D) Secretaria de Segurança; E) Centro de Empreendimentos em Informática;";E;E;sim;;;
Regimentos;Regulamenta o ordenamento de matrícula...pdf;"Qual o valor atribuído ao índice I2 para o grupo de alunos calouros? A) 1; B) 5; C) 7; D) 10; E) 0;";D;E;nao;;;
Regimentos;Regulamentação da dupla diplomação...pdf;"A quem compete a homologação dos programas de dupla diplomação após trâmite interno? A) Departamento de Física; B) Reitoria apenas; C) CEPE (Conselho de Ensino, Pesquisa e Extensão); D) Diretório Acadêmico; E) Prefeitura de Porto Alegre;";C;C;sim;;;
Regimentos;Regulamentação do Programa Especial... PEG.pdf;"Qual a exigência mínima de professores do quadro da UFRGS em cursos PEG? A) 50%; B) 10%; C) 25%; D) 75%; E) 100%;";A;A;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"A quem se aplica o Código Disciplinar Discente da UFRGS? A) Apenas alunos de graduação; B) Apenas alunos de pós-graduação; C) Somente a alunos formandos; D) Discentes com vínculo ativo ou matrícula trancada; E) Apenas alunos residentes na moradia estudantil;";D;D;sim;;;
Regimentos;Diretrizes curriculares... UFRGS.pdf;"Onde o conteúdo ético da formação universitária deve estar presente? A) Apenas em cursos de Direito; B) Perpassando todo o currículo e práticas; C) Somente no vestibular; D) Apenas em seminários extras; E) Exclusivamente no diploma;";B;B;sim;;;
Regimentos;Normas para acompanhamento do desempenho...pdf;"O que define o jubilamento de um aluno na UFRGS? A) Reprovação por nota; B) Falta de pagamento; C) Transferência externa; D) Mudança de curso; E) Atingimento do prazo máximo para conclusão;";E;E;sim;;;
Regimentos;Normas para admissão... de alunos visitantes.pdf;"Qual a duração máxima permitida para a permanência de um aluno visitante na instituição? A) Um mês; B) Um semestre; C) Dois semestres consecutivos; D) Todo o curso; E) Três anos;";C;C;sim;;;
Regimentos;Normas para as atividades complementares...pdf;"Quantas horas de atividade de extensão equivalem a 1 crédito complementar? A) 15 horas; B) 30 horas; C) 45 horas; D) 90 horas; E) 60 horas;";E;A;nao;;;
Regimentos;Normas para o programa de estágio...pdf;"É dever da Parte Concedente do estágio segurar o estagiário obrigatoriamente contra o quê? A) Acidentes pessoais; B) Desemprego; C) Danos materiais à empresa; D) Erros de programação; E) Roubo de equipamentos;";A;A;sim;;;
Regimentos;Regimento.pdf;"Quem atua como Presidente do Conselho do Instituto de Informática (CONINF)? A) O Reitor; B) O Chefe do Departamento; C) O Bibliotecário; D) O Diretor do Instituto; E) O Representante Discente;";D;D;sim;;;
Regimentos;Regulamenta o ordenamento de matrícula...pdf;"No cálculo do índice I3 de ordenamento, qual o valor atribuído para o conceito FF? A) 0; B) 1; C) 2; D) 3; E) 6;";B;E;nao;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Qual autoridade tem a competência exclusiva para aplicar a sanção de desligamento? A) Direção da Unidade; B) Conselho da Unidade; C) Reitoria; D) Ministério da Educação; E) Polícia Federal;";C;C;sim;;;
Regimentos;Regulamenta o aproveitamento de estudos...pdf;"Para afastar-se e cursar disciplinas em outra IES, qual o percentual mínimo que o aluno deve ter integralizado? A) 20%; B) 5%; C) 10%; D) 15%; E) 50%;";A;A;sim;;;
Regimentos;Regulamentação do Programa Especial... PEG.pdf;"O que é expressamente vedado aos alunos vinculados a cursos do Programa PEG? A) Trancamento de matrícula e transferência interna; B) Uso da biblioteca; C) Participação em extensão; D) Ter aulas no turno da noite; E) Realizar estágios;";A;A;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Utilizar inteligência artificial para fraudar tarefas acadêmicas é uma infração de que tipo? A) Leve; B) Grave; C) Gravíssima; D) Administrativa; E) Média;";E;C;nao;;;
Regimentos;Normas para acompanhamento do desempenho...pdf;"Qual o peso atribuído ao conceito D ocorrido pela terceira vez em diante na mesma disciplina? A) Peso 1; B) Peso 1,5; C) Peso 2; D) Peso 3; E) Peso 4;";B;D;nao;;;
Regimentos;Diretrizes curriculares... UFRGS.pdf;"Qual metáfora é usada para ilustrar o conhecimento sem hierarquias ou linearidades? A) Pirâmide; B) Escada; C) Rede; D) Edifício; E) Engrenagem;";C;C;sim;;;
Regimentos;CÓDIGO DISCIPLINAR DISCENTE.pdf;"Atitudes que firam a política contra o assédio na UFRGS são classificadas no mínimo como: A) Infração grave; B) Infração leve; C) Falta de decoro simples; D) Mal-entendido social; E) Infração administrativa média;";A;A;sim;;;
Regimentos;Normas para acompanhamento do desempenho...pdf;"Quando o aluno entra oficialmente em regime de observação de desempenho? A) Quando tira um D; B) Após 2 anos de curso; C) Se trancar o semestre; D) Ao ser calouro; E) Quando seu CD é maior que o NCA;";E;E;sim;;;
